127.0.0.1 - - [24/Mar/2024:14:46:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:46:06 +0530] "GET /productManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:46:08 +0530] "GET /productManagementApp/formvalidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:46:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:46:19 +0530] "GET /productManagementApp/productlist.jsp HTTP/1.1" 200 38717808
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:46:26 +0530] "GET /productManagementApp/searchResult.jsp?ch=11 HTTP/1.1" 500 4526
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:48:44 +0530] "GET /productManagementApp/productlist.jsp HTTP/1.1" 200 36201846
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:48:50 +0530] "GET /productManagementApp/searchResult.jsp?ch=11 HTTP/1.1" 500 4526
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:50:55 +0530] "GET /productManagementApp/productlist.jsp HTTP/1.1" 200 36201698
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:51:06 +0530] "GET /productManagementApp/searchResult.jsp?ch=11 HTTP/1.1" 500 4424
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:51:36 +0530] "GET /productManagementApp/productlist.jsp HTTP/1.1" 200 38717804
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:51:56 +0530] "GET /productManagementApp/searchResult.jsp?ch=11 HTTP/1.1" 500 4424
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:53:00 +0530] "GET /productManagementApp/productlist.jsp HTTP/1.1" 200 38717804
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:53:06 +0530] "GET /productManagementApp/searchResult.jsp?ch=11 HTTP/1.1" 500 4298
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:54:06 +0530] "GET /productManagementApp/productlist.jsp HTTP/1.1" 200 38717804
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:54:13 +0530] "GET /productManagementApp/searchResult.jsp?ch=11 HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:56:17 +0530] "GET /productManagementApp/productlist.jsp HTTP/1.1" 200 38717804
0:0:0:0:0:0:0:1 - - [24/Mar/2024:14:56:24 +0530] "GET /productManagementApp/searchResult.jsp?ch=11 HTTP/1.1" 200 1309
